Name,Size
space_app2/1000/10000/HashMap,1399670816
space_app2/1000/10/ExprMap,2235944
space_app2/1000/10/Map,1570448
space_app2/1000/10/HashMap,1561216
space_app2/1000/100/ExprMap,21178056
space_app2/1000/100/Map,14295888
space_app2/1000/100/HashMap,14287120
space_app2/1000/1000/ExprMap,209008640
space_app2/1000/1000/Map,143805664
space_app2/1000/1000/HashMap,143796992
space_app2/1000/1000/ExprMap,209008640
space_app2/1000/1000/Map,143805664
space_app2/1000/1000/HashMap,143796992
space_app2/1000/10000/ExprMap,2042411536
space_app2/1000/10000/Map,1399679440
space_app2/1000/10000/HashMap,1399670816
space_app2/10000/10/ExprMap,21092992
space_app2/10000/10/Map,15293192
space_app2/10000/10/HashMap,15184080
space_app2/10000/100/ExprMap,209635224
space_app2/10000/100/Map,142169024
space_app2/10000/100/HashMap,142039960
space_app2/10000/1000/ExprMap,2089663200
space_app2/10000/1000/Map,1439118168
space_app2/10000/1000/HashMap,1438990608
space_app2/10000/1000/ExprMap,2089663200
space_app2/10000/1000/Map,1439118168
space_app2/10000/1000/HashMap,1438990608

