Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
lookup_app2/10/Map/,7.4858138400734596e-6,7.483932843338299e-6,7.487750817004344e-6,6.614416070838208e-9,5.906253003362733e-9,7.4003503666959244e-9
lookup_app2/10/HashMap/,9.551911214869518e-6,9.545022766259776e-6,9.558652201978138e-6,2.3198422002491795e-8,1.9532734183546926e-8,2.8538519893950215e-8
lookup_app2/100/ExprMap/,6.044101307552423e-4,6.043057296195757e-4,6.045136499815187e-4,3.5113248791242624e-7,2.866129717258275e-7,4.3734549422781935e-7
lookup_app2/100/Map/,8.58079899749148e-4,8.579170063668924e-4,8.582112986935585e-4,4.993193548471465e-7,4.2907393038813054e-7,5.7385075030444e-7
lookup_app2/100/HashMap/,8.591724680729118e-4,8.587862928460796e-4,8.595770410700682e-4,1.3047525151269643e-6,1.123984691360762e-6,1.5765369625858456e-6
lookup_app2/1000/ExprMap/,0.1002597623869343,0.10022062394748289,0.10032129240118795,7.772697984092389e-5,4.385154366624742e-5,1.2546899614536043e-4
lookup_app2/1000/Map/,0.31289188876748086,0.3120831979066133,0.3148225013166666,1.475051890255898e-3,2.031315766058432e-4,1.999571619660252e-3
lookup_app2/1000/HashMap/,0.13035746963883174,0.13026936334125433,0.13044249343053838,1.3548724787564915e-4,8.594323437342487e-5,2.099820560121188e-4
lookup_lam/10/10/ExprMap/,7.563396358756497e-6,7.547496085936998e-6,7.578017692691307e-6,4.836140129778863e-8,4.452714369558218e-8,5.2412451492101216e-8
lookup_lam/10/10/Map/,1.6056780265242693e-5,1.605248641093483e-5,1.6062341181423262e-5,1.6877873668237153e-8,1.3619991456216774e-8,2.1320330654180818e-8
lookup_lam/10/10/HashMap/,1.3845092421268528e-5,1.3841425921257627e-5,1.3849021619396463e-5,1.2825098051724488e-8,1.1194773104710058e-8,1.51487051822927e-8
lookup_lam/10/100/ExprMap/,5.2819782980334076e-5,5.280756576105179e-5,5.2834173114703036e-5,4.511142847195219e-8,3.499422484119886e-8,6.989654581903693e-8
lookup_lam/10/100/Map/,1.3789905329027953e-4,1.3780082423408839e-4,1.3832227807400165e-4,5.60408999479775e-7,1.7737149038674218e-7,1.2254424606965258e-6
lookup_lam/10/100/HashMap/,1.107101221588734e-4,1.106763792078493e-4,1.1074943778586086e-4,1.2872826428097567e-7,1.1052345057568292e-7,1.5640689477004262e-7
lookup_lam/10/1000/ExprMap/,5.625015679870442e-4,5.624083431244861e-4,5.626177976765214e-4,3.5597179935445623e-7,2.8699485643831656e-7,4.644424764913827e-7
lookup_lam/10/1000/Map/,1.414854873288517e-3,1.4144198052260962e-3,1.4153846448860558e-3,1.6286999885974675e-6,1.3236877207081647e-6,1.958571949037038e-6
lookup_lam/10/1000/HashMap/,1.2445502741989633e-3,1.2440742562926208e-3,1.245182443333776e-3,1.95804728116588e-6,1.714105245675096e-6,2.2066494549706614e-6
lookup_lam/10/10000/ExprMap/,5.690689774685426e-3,5.687177342121316e-3,5.698536890740147e-3,1.4672838249694305e-5,8.86048766305548e-6,2.534877896577852e-5
lookup_lam/10/10000/Map/,1.4319978104747017e-2,1.4302617434166215e-2,1.4346721209955756e-2,5.175803238635737e-5,3.507628693499193e-5,8.067807193472417e-5
lookup_lam/10/10000/HashMap/,1.276537024097081e-2,1.275063144347799e-2,1.2798585153730882e-2,5.571445927600461e-5,2.555718261250786e-5,8.854884059269173e-5
lookup_lam/100/10/ExprMap/,6.388891205802628e-5,6.387303766959706e-5,6.392823077016557e-5,7.534382334066262e-8,4.513857532180359e-8,1.296710889225968e-7
lookup_lam/100/10/Map/,2.7537722780346364e-4,2.75299004895992e-4,2.7549333886308996e-4,3.1614725895098495e-7,2.4873829701856903e-7,3.9139487914008604e-7
lookup_lam/100/10/HashMap/,1.2615242088340428e-4,1.261139387971498e-4,1.2619517433457993e-4,1.4026782813902932e-7,1.2356950473244984e-7,1.6544639572378993e-7
lookup_lam/100/100/ExprMap/,5.385876992082111e-4,5.384773574943737e-4,5.387230180140011e-4,4.1519180077493903e-7,3.3232963253701815e-7,5.763013838579673e-7
lookup_lam/100/100/Map/,2.541920062382585e-3,2.5407504186631966e-3,2.5438069843180854e-3,4.989902146267453e-6,3.6569461686009142e-6,6.932968515111995e-6
lookup_lam/100/100/HashMap/,1.1277582687879934e-3,1.1272857745789515e-3,1.128240036868596e-3,1.6327082820519272e-6,1.4155189485057777e-6,1.8933785449565222e-6
lookup_lam/100/1000/ExprMap/,5.939060557737983e-3,5.935921645165218e-3,5.943465084287841e-3,1.0665597942071963e-5,7.598550418063565e-6,1.4930663599132316e-5
lookup_lam/100/1000/Map/,2.6961778623726437e-2,2.6942205290848082e-2,2.6997852260669346e-2,5.587261835735896e-5,3.321044968333968e-5,8.644113258208176e-5
lookup_lam/100/1000/HashMap/,1.3033704493685874e-2,1.3018812594299309e-2,1.3054896834157073e-2,4.27159537153825e-5,2.922890729643397e-5,5.780091777839871e-5
lookup_lam/100/10000/ExprMap/,8.181013593346709e-2,8.169520397567087e-2,8.203591243881318e-2,2.798110130338918e-4,1.1406516731345904e-4,4.5908570326229933e-4
lookup_lam/100/10000/Map/,0.41909280749193084,0.4183898156043142,0.42018605923901003,1.0341210475246212e-3,8.064298890531063e-5,1.3089376322891393e-3
lookup_lam/100/10000/HashMap/,0.16842872430475392,0.16823602933436632,0.16866957238514205,3.1292446286129895e-4,1.8340007311245303e-4,4.828789606808909e-4
lookup_lam/1000/10/ExprMap/,6.80226125320446e-4,6.800763916214323e-4,6.804020945577277e-4,5.313108083773473e-7,4.386576299249213e-7,6.481185913559152e-7
lookup_lam/1000/10/Map/,4.2609336891474125e-3,4.25938159067875e-3,4.263274812724233e-3,5.999031492623203e-6,4.36172569621815e-6,8.20878196989231e-6
lookup_lam/1000/10/HashMap/,1.3001828305717928e-3,1.299598611873447e-3,1.3008180360096788e-3,1.968614436406109e-6,1.729487270326016e-6,2.5156950108687206e-6
lookup_lam/1000/100/ExprMap/,5.411226740076459e-3,5.406710632190057e-3,5.419424654974458e-3,1.7186600391441598e-5,1.0443505412626079e-5,2.8052244387825005e-5
lookup_lam/1000/100/Map/,3.900102730239204e-2,3.890109146575606e-2,3.936393405990306e-2,3.538589161444396e-4,5.653666350769387e-5,6.581683566302906e-4
lookup_lam/1000/100/HashMap/,1.1368223626134629e-2,1.1356715631312188e-2,1.1394397447549746e-2,4.470282959830017e-5,2.2246930428493867e-5,7.538328363649428e-5
lookup_lam/1000/1000/ExprMap/,7.260064408574661e-2,7.257814852910677e-2,7.262014252101047e-2,3.7865263627583526e-5,2.9739178688372138e-5,5.0214610784476616e-5
lookup_lam/1000/1000/Map/,0.4809901383317386,0.4806752837418268,0.4815836320631206,5.83728075677744e-4,1.4239085049876088e-5,7.128864439147993e-4
lookup_lam/1000/1000/HashMap/,0.14118674815930174,0.14112380846422548,0.1413104405918089,1.2134886531005644e-4,2.9334341773303927e-5,1.8925251506476644e-4
lookup_lam/1000/10000/ExprMap/,0.8361140690200651,0.835786765286078,0.8366949629271403,5.719016366861635e-4,5.284240255561687e-6,7.505913554413767e-4
lookup_lam/1000/10000/Map/,6.284737738897093,6.283641280722804,6.2865929525578395,1.7905582244102458e-3,2.2513512521982193e-4,2.272198038022591e-3
lookup_lam/1000/10000/HashMap/,1.6035619348598023,1.6028788633023698,1.603904481123512,6.449316991185888e-4,4.667230263879444e-6,7.91076710250701e-4
lookup_lam/10000/10/ExprMap/,7.825830133778501e-3,7.818860440009519e-3,7.837762977029632e-3,2.5570463449743853e-5,1.789597386792643e-5,3.778089501463651e-5
lookup_lam/10000/10/Map/,6.1015789186594956e-2,6.086638210508874e-2,6.1556410487985824e-2,4.4974973369449036e-4,8.156312875421854e-5,7.9529799572992e-4
lookup_lam/10000/10/HashMap/,1.342916636249366e-2,1.341276121289476e-2,1.3451933070897494e-2,4.82319602055869e-5,3.122861432137926e-5,7.561982908718482e-5
lookup_lam/10000/100/ExprMap/,6.989076634274365e-2,6.984693618419455e-2,6.997156010840612e-2,1.1175222607952962e-4,5.6000178818215144e-5,1.7811733323422902e-4
lookup_lam/10000/100/Map/,0.6500916414661333,0.6496387756196782,0.6505214860662818,5.28838130940362e-4,2.3519108071923256e-4,6.795108186174414e-4
lookup_lam/10000/100/HashMap/,0.12352643666229034,0.12347306581685275,0.12364822910499892,1.1663311740607746e-4,4.0712437481909286e-5,1.8900446870192812e-4
lookup_lam/10000/1000/ExprMap/,0.8758729009423405,0.8757876330055296,0.8759699082002044,1.1363287347652098e-4,3.865361213684082e-5,1.5228451833924266e-4
lookup_lam/10000/1000/Map/,7.476951450148287,7.476590256905183,7.47754069045186,5.950385298821969e-4,2.1543377079069614e-4,8.145645824004681e-4
lookup_lam/10000/1000/HashMap/,1.4239363240388532,1.4238064140081406,1.424084901344031,1.7331322696987486e-4,5.962575475371157e-5,2.3116447369417992e-4
lookup_lam/10000/10000/ExprMap/,8.69772901389903,8.697229678160511,8.698487150366418,7.313081847182124e-4,1.0427683939165237e-4,9.68002555438929e-4
lookup_lam/10000/10000/Map/,89.3325203397156,89.05371818326724,89.70855562994257,0.35903284130054264,5.334556367416199e-4,0.43447487989304234
lookup_lam/10000/10000/HashMap/,15.920741745387204,15.919883396360092,15.921329787233844,8.706832879115454e-4,3.5939366784790323e-4,1.1235630966181982e-3
lookup_one/10/ExprMap/,3.2286414180384894e-7,3.2279000695847227e-7,3.229369258822668e-7,2.6215965626658233e-10,2.1547845382471388e-10,3.20743450185142e-10
lookup_one/10/Map/,3.2431686741710073e-7,3.2338287275006405e-7,3.252307756447674e-7,3.0973043807539413e-9,2.7313628893160633e-9,3.4359415043080407e-9
lookup_one/10/HashMap/,5.278872110274317e-7,5.276286934599025e-7,5.281100177887041e-7,8.197797028270091e-10,6.794964512711496e-10,1.0188833443601899e-9
lookup_one/100/ExprMap/,1.548367942741609e-6,1.5473167565805227e-6,1.5492850272338177e-6,3.3388172577593225e-9,2.6043878338405892e-9,4.1550630876849475e-9
lookup_one/100/Map/,1.5604122856071434e-6,1.5593312164241564e-6,1.561187350572898e-6,2.917885344591314e-9,2.4277376723573716e-9,3.574450451224357e-9
lookup_one/100/HashMap/,2.6393632862112438e-6,2.637429333448181e-6,2.6409825534061484e-6,5.9331748404816e-9,4.752564947663403e-9,7.821554427989984e-9
lookup_one/1000/ExprMap/,2.3012886616658647e-5,2.3008167226326943e-5,2.3018270506870293e-5,1.735206545739866e-8,1.452526427106561e-8,2.1260752253124326e-8
lookup_one/1000/Map/,2.2989463283390376e-5,2.2984828612228093e-5,2.2993869315122103e-5,1.5149260436792414e-8,1.2401755523962521e-8,1.8868553096459902e-8
lookup_one/1000/HashMap/,3.9862571324816265e-5,3.9855788594289604e-5,3.98705733327767e-5,2.4355283375338056e-8,1.9952383055361e-8,3.0786979170058924e-8
insert_lookup_one/10/10/ExprMap/,6.43209823029136e-8,6.431593653278268e-8,6.432571396454202e-8,1.6557570000923025e-11,1.2768388832297465e-11,2.311395115945661e-11
insert_lookup_one/10/10/Map/,1.4085481552144848e-7,1.407845778746284e-7,1.4092311088113772e-7,2.3649171838982644e-10,2.03696175526481e-10,2.848905865152127e-10
insert_lookup_one/10/10/HashMap/,9.326618024760817e-8,9.32407730074365e-8,9.328945958679913e-8,8.329084441273274e-11,7.057207508963789e-11,9.922169412096626e-11
insert_lookup_one/10/100/ExprMap/,2.460294598276154e-6,2.4597464316403246e-6,2.461167652175439e-6,2.314916356819021e-9,1.6719252427734325e-9,3.829218676023686e-9
insert_lookup_one/10/100/Map/,2.571212181779908e-6,2.5703717173765415e-6,2.5722045741753638e-6,2.975041753071219e-9,2.5449115485996417e-9,3.50793261582408e-9
insert_lookup_one/10/100/HashMap/,3.741489642173066e-6,3.7397517087974645e-6,3.7432054371335315e-6,5.751485376838369e-9,4.872024417142711e-9,6.775168546826354e-9
insert_lookup_one/10/1000/ExprMap/,2.6062844556317448e-5,2.6055757502672358e-5,2.6069348374312417e-5,2.222029900715561e-8,1.86627328365372e-8,2.7839391176472394e-8
insert_lookup_one/10/1000/Map/,2.620284106838537e-5,2.6198467408194823e-5,2.6207601375502393e-5,1.513334848345427e-8,1.2645029879786644e-8,1.8952695206188016e-8
insert_lookup_one/10/1000/HashMap/,4.594290026645063e-5,4.5931453529636445e-5,4.595635235406039e-5,3.983175901316587e-8,3.358497474282806e-8,5.148309130360902e-8
insert_lookup_one/10/10000/ExprMap/,2.533804923751146e-4,2.5333054415222086e-4,2.5343639519564406e-4,1.8817323620397208e-7,1.5569883055678198e-7,2.2892021039923956e-7
insert_lookup_one/10/10000/Map/,2.5084214701496426e-4,2.5078122435394964e-4,2.509170794746016e-4,2.369028863465808e-7,1.872909176454814e-7,3.146009867635428e-7
insert_lookup_one/10/10000/HashMap/,4.592548254760615e-4,4.590005896550567e-4,4.595331200386077e-4,8.843254993899736e-7,7.371171429903486e-7,1.2109734876089e-6
insert_lookup_one/100/10/ExprMap/,1.5291124276481425e-7,1.5282784516483017e-7,1.5298966491870175e-7,2.771009229632231e-10,2.2531265337031146e-10,3.4757620657484105e-10
insert_lookup_one/100/10/Map/,3.805186470352852e-7,3.7955634653285273e-7,3.8134294752172136e-7,2.9227387763309123e-9,2.3000124574754675e-9,3.94222202666817e-9
insert_lookup_one/100/10/HashMap/,1.216143332109594e-7,1.2155791955599503e-7,1.2168242415066765e-7,2.0234745359464135e-10,1.725028804581461e-10,2.470904387047113e-10
